FORMAT -> NODE1_LABEL | NODE2_LABEL | EDGE_LABEL (OPTIONAL) | EDGE_OWNER (OPTIONAL - TO ASSIGN OWNERSHIP TO SPECIFIC GROUP) - NOTE: DISAMBIGUATION SUPPORTED BY CONCATENATING LABEL WITH '##ID:##'+ID SHARED WITH OBJECT,Unnamed: 1,Unnamed: 2
RESPONSE TIME,PERFORMANCE##ID:##n14::n91,##ID:##e0
TIME,PERFORMANCE##ID:##n14::n91,##ID:##e1
MEMORY##ID:##n14::n171,PERFORMANCE##ID:##n14::n91,##ID:##e2
BREAK,WHILE,##ID:##e3
BREAK,FOR##ID:##n12::n80,##ID:##e4
CONTINUE,WHILE,##ID:##e5
CONTINUE,FOR##ID:##n12::n80,##ID:##e6
"EXTENSION MODULES: C,RUST, ETC - MORE DIFFICULT TO PACKAGE",DISTUTILS,##ID:##e7
"EXTENSION MODULES: C,RUST, ETC - MORE DIFFICULT TO PACKAGE",EXTENSIONLIB,##ID:##e8
HATCH,PYPROJECT.TOML (REGISTER BUILD TOOLS),##ID:##e9
PYTHON-PACKAGE.YML,FORMATTER,##ID:##e10
PYTHON-PACKAGE.YML,TESTS##ID:##n12::n432::n32,##ID:##e11
REQUEST,RESPONSE,##ID:##e12
HELP(),__DOC__,##ID:##e13
__DOC__,DOC STRINGS,##ID:##e14
__ANNOTATIONS__,FUNCTION ANNOTATIONS,##ID:##e15
SINGLE EXPRESSION ONLY,LAMBDAS: INLINE ANON FUNCS,##ID:##e16
ORD(),ASCII,##ID:##e17
DIR(),ATTRIBUTES,##ID:##e18
INSPECT.ISMETHOD,INSPECT MODULE,##ID:##e19
INSPECT.ISFUNCTION,INSPECT MODULE,##ID:##e20
INSPECT.ISROUTINE,INSPECT MODULE,##ID:##e21
INSPECT.GETSOURCE(FUNC) INCLUDES FULL DEF STATEMENT,INSPECT MODULE,##ID:##e22
INSPECT.GETCOMMENTS(MYFUNC),INSPECT MODULE,##ID:##e23
DOC CREATOR,INSPECT.GETSOURCE(FUNC) INCLUDES FULL DEF STATEMENT,##ID:##e24
DOC CREATOR,INSPECT.GETCOMMENTS(MYFUNC),##ID:##e25
INSPECT.SIGNATURE,INSPECT MODULE,##ID:##e26
INSPECT.GETMODULE,INSPECT MODULE,##ID:##e27
__INIT__.PY (MAKES CALLABLE AS MODULE/PACKAGE),TEST (FOLDER),##ID:##e28
__INIT__.PY (MAKES CALLABLE AS MODULE/PACKAGE),SRC OR PROJECT_NAME,##ID:##e29
__MAIN__.PY,SRC OR PROJECT_NAME,##ID:##e30
PACKAGE_N,SRC OR PROJECT_NAME,##ID:##e31
__INIT__.PY (MAKES CALLABLE AS MODULE/PACKAGE),PACKAGE_NAME,##ID:##e32
UNITTESTS,TEST (FOLDER),##ID:##e33
FORMATTER,PYPROJECT.TOML (REGISTER BUILD TOOLS),##ID:##e34
TESTS##ID:##n12::n432::n32,PYPROJECT.TOML (REGISTER BUILD TOOLS),##ID:##e35
ALWAYS RETURN SOMETHING,CALLABLE,##ID:##e36
CAN TAKE A NONE FUNCTION,FILTER,##ID:##e37
TRUTHY,FILTER,##ID:##e38
MAX,REDUCING FUNCTION,##ID:##e39
SUM,REDUCING FUNCTION,##ID:##e40
REDUCE,FUNCTOOLS,##ID:##e41
